review,scrapped_date
Not bad  ,2026-02-05 20:25:26.899401
❤️❤️❤️❤️ ,2026-02-05 20:25:26.976439
Nice ,2026-02-05 20:25:26.978701
Good  8/10,2026-02-05 20:25:26.980943
Left ko right ma auxa right ko left ma auxa sound,2026-02-05 20:25:26.984137
overall product good but volume botton not working in my product ,2026-02-05 20:25:26.989435
❤️❤️❤️❤️ ,2026-02-05 20:25:27.061901
Nice ,2026-02-05 20:25:27.064024
Good  8/10,2026-02-05 20:25:27.066624
Left ko right ma auxa right ko left ma auxa sound,2026-02-05 20:25:27.069870
overall product good but volume botton not working in my product ,2026-02-05 20:25:27.073038
sound quality ramro xa ,2026-02-05 20:25:27.151928
yesko sound khaisai ramro lageyna malai use product diyeko raixa yellow maiilo thiyo . sthi ko lagi mangakao thiyo usley liskayo. ,2026-02-05 20:25:27.158110
"According to price of earphone 💸
it was really good and satisfied ✅",2026-02-05 20:25:27.163930
"khasai ramro sound ta rainxa price anusar thikai xa 
i dont like sound  ",2026-02-05 20:25:27.166552
It do not work properly 😞 please provide good product 😔 ,2026-02-05 20:25:27.177873
sound quality ramro xa ,2026-02-05 20:25:27.269680
yesko sound khaisai ramro lageyna malai use product diyeko raixa yellow maiilo thiyo . sthi ko lagi mangakao thiyo usley liskayo. ,2026-02-05 20:25:27.274368
"According to price of earphone 💸
it was really good and satisfied ✅",2026-02-05 20:25:27.277544
"khasai ramro sound ta rainxa price anusar thikai xa 
i dont like sound  ",2026-02-05 20:25:27.283914
It do not work properly 😞 please provide good product 😔 ,2026-02-05 20:25:27.289863
Nice quality.,2026-02-05 20:25:27.395492
Not good according to price  ,2026-02-05 20:25:27.398071
Nice ,2026-02-05 20:25:27.400356
Good Product for this price point . but seems like it won't last longer .,2026-02-05 20:25:27.405933
Ok for the price. ,2026-02-05 20:25:27.408842
Nice quality.,2026-02-05 20:25:27.480758
Not good according to price  ,2026-02-05 20:25:27.483222
Nice ,2026-02-05 20:25:27.485935
Good Product for this price point . but seems like it won't last longer .,2026-02-05 20:25:27.488809
Ok for the price. ,2026-02-05 20:25:27.494945
Nice quality.,2026-02-05 20:25:27.614730
Not good according to price  ,2026-02-05 20:25:27.617332
Nice ,2026-02-05 20:25:27.621879
Good Product for this price point . but seems like it won't last longer .,2026-02-05 20:25:27.624729
Ok for the price. ,2026-02-05 20:25:27.627429
Nice quality.,2026-02-05 20:25:27.694814
Not good according to price  ,2026-02-05 20:25:27.697381
Nice ,2026-02-05 20:25:27.699645
Good Product for this price point . but seems like it won't last longer .,2026-02-05 20:25:27.704239
Ok for the price. ,2026-02-05 20:25:27.710188
Nice quality.,2026-02-05 20:25:27.816708
Not good according to price  ,2026-02-05 20:25:27.820758
Nice ,2026-02-05 20:25:27.823545
Good Product for this price point . but seems like it won't last longer .,2026-02-05 20:25:27.826801
Ok for the price. ,2026-02-05 20:25:27.832422
